================================================================================
RAPPORT D'EXTRACTION - BiographieNationale Volume 1
================================================================================

Biographies extraites : 458
Renvois (Voir...) ignorés : 133
Faux positifs ignorés : 25
Total entrées détectées : 616

--- ALERTES (2 entrées courtes < 150 car.) ---
  ANLY (Jean D').txt | 119 mots | 789 car. | OK
  ANNEESSENS (François).txt | 5883 mots | 35747 car. | OK
  ANNEESSENS (Jean-André).txt | 524 mots | 3197 car. | OK
  ANS (François D').txt | 93 mots | 565 car. | OK
  ANS (Paul-Ernest-Ruth D').txt | 1598 mots | 9691 car. | OK
  ANSÉGISE.txt | 481 mots | 2988 car. | OK
  ANSÉGISE, mort vers 673.txt | 328 mots | 1876 car. | OK
  ANSELME.txt | 342 mots | 2143 car. | OK
  ANSELME (le père).txt | 104 mots | 625 car. | OK
  ANSELME (1).txt | 387 mots | 2395 car. | OK
  ANSELME DE GEMBLOUX.txt | 301 mots | 1779 car. | OK
  ANSELME (2).txt | 152 mots | 928 car. | OK
  ANSELME DE FLANDRE, ou le FLAMAND.txt | 365 mots | 2253 car. | OK
  ANSELMO (Antoine).txt | 1249 mots | 8317 car. | OK
  ANSFREDUS, GAUFRIDUS.txt | 489 mots | 2937 car. | OK
  ANSIAUX (Emmanuel-Antoine-Joseph).txt | 455 mots | 2759 car. | OK
  ANSIAUX (Jean-Joseph-Éléonore-Antoine).txt | 234 mots | 1494 car. | OK
  ANSIAUX (Jean-Hubert-Joseph).txt | 328 mots | 2038 car. | OK
  ANSIAUX (Nicolas-Antoine-Joseph).txt | 131 mots | 798 car. | OK
  ANSIAUX (Nicolas - Gabriel-Antoine-Joseph).txt | 1096 mots | 6681 car. | OK
  ANSILLON (Jean).txt | 272 mots | 1678 car. | OK
  ANSO, ANSON ou ANSUS.txt | 220 mots | 1173 car. | OK
  ANTHEUNIS (Jacques-Jean).txt | 215 mots | 1303 car. | OK
  ANTHONISSEN (Henri-Joseph).txt | 155 mots | 968 car. | OK
  ANTHONISSEN (Pierre).txt | 155 mots | 955 car. | OK
  ANTOINE DE BOURGOGNE.txt | 1050 mots | 6248 car. | OK
  ANTOING (Henri D').txt | 305 mots | 1886 car. | OK
  ANVERS (Laurent D ').txt | 236 mots | 1435 car. | OK
  APOLLONIUS (Levinus).txt | 353 mots | 2253 car. | OK
  APOSTOLE (Pierre), ou APOSTOCLE, LAPOSTOLE, DEL' APOSTOLE.txt | 640 mots | 3963 car. | OK
  APPELMANS (Jean et Pierre).txt | 880 mots | 5489 car. | OK
  ABANDA (Bernard DE ou D').txt | 542 mots | 3220 car. | OK
  ARANDA (Emmanuel DE ou D').txt | 1272 mots | 7878 car. | OK
  ARBERG (Charles-Antoine comte D').txt | 154 mots | 945 car. | OK
  ARBERG (Charles-Philippe comte D').txt | 151 mots | 1000 car. | OK
  ARBERG (Nicolas-Antoine comte D').txt | 212 mots | 1360 car. | OK
  ARBOIS (Philippe D').txt | 595 mots | 3597 car. | OK
  ARDÉE (Jacques D').txt | 112 mots | 718 car. | OK
  ARDENNE (Remacle D') ou REMACLUS ARDUENNA.txt | 236 mots | 1451 car. | OK
  ARDENNES (Gilles D').txt | 91 mots | 539 car. | OK
  ARDS (Guillaume).txt | 536 mots | 3240 car. | OK
  ARENBERG (Jean de Ligne, comte D').txt | 4421 mots | 26081 car. | OK
  ARENBERG (Charles, comte D').txt | 2927 mots | 17210 car. | OK
  ARENBERG (Philippe-Charles, prince-comte D').txt | 5944 mots | 35545 car. | OK
  ARENBERG (Philippe-François, prince-comte D').txt | 2086 mots | 12312 car. | OK
  ARENBERG (Charles-Eugène D').txt | 184 mots | 1119 car. | OK
  ARENBERG (Philippe-Charles-François duc D).txt | 382 mots | 2333 car. | OK
  ARENBERG (Léopold-Philippe-Charles-Joseph, duc D').txt | 3245 mots | 18983 car. | OK
  ARENBERG (Charles-Marie-Raymond, duc D').txt | 1701 mots | 10135 car. | OK
  ARENBERG (Louis-Engelbert, duc D').txt | 3244 mots | 19067 car. | OK
  ARENBERG (Pierre VAN), dit Daremberg.txt | 1246 mots | 7250 car. | OK
  ARENBERGH (François VAN).txt | 236 mots | 1376 car. | OK
  ARGENTEAU (Renaud D').txt | 126 mots | 794 car. | OK
  ARGENTIL (Charles D').txt | 143 mots | 904 car. | OK
  ARMIGER (Nicolas).txt | 77 mots | 508 car. | OK
  ARNAL (Jean).txt | 123 mots | 756 car. | OK
  ARNOLDI (Olanus-Nic.).txt | 77 mots | 472 car. | OK
  ARNALDUS ou ARNALDUS DE BRUXELLA.txt | 301 mots | 1986 car. | OK
